id_execucao,estado_inicial,iterações,tempo_ms,estado_final,h_final,sucesso,reinicios,platô,ótimo_local
1,"[7, 7, 0, 5, 2, 3, 7, 7]",15,4.4,"[7, 4, 1, 5, 0, 6, 3, 7]",1,False,0,True,False
2,"[6, 5, 1, 5, 6, 6, 4, 3]",13,3.3,"[7, 4, 1, 7, 0, 3, 6, 2]",1,False,0,True,False
3,"[2, 2, 0, 7, 0, 4, 2, 4]",6,1.8,"[5, 2, 0, 7, 3, 1, 6, 4]",0,True,0,False,False
4,"[0, 1, 0, 2, 5, 0, 1, 2]",6,2.8,"[6, 4, 2, 0, 5, 7, 1, 3]",0,True,0,False,False
5,"[2, 0, 4, 5, 7, 5, 5, 0]",13,3.28,"[5, 2, 6, 1, 7, 5, 3, 0]",1,False,0,True,False
6,"[5, 3, 0, 4, 5, 5, 3, 6]",6,1.78,"[5, 3, 0, 4, 7, 1, 6, 2]",0,True,0,False,False
7,"[3, 3, 4, 6, 2, 5, 6, 2]",5,1.91,"[1, 7, 4, 0, 3, 5, 6, 2]",1,False,0,False,True
8,"[1, 3, 6, 2, 3, 4, 1, 4]",13,3.49,"[5, 3, 1, 4, 7, 3, 6, 2]",1,False,0,True,False
9,"[3, 6, 1, 0, 2, 3, 0, 1]",6,2.46,"[4, 6, 3, 0, 2, 7, 5, 1]",0,True,0,False,False
10,"[1, 3, 2, 2, 4, 4, 0, 6]",13,5.49,"[1, 3, 5, 7, 2, 0, 6, 6]",1,False,0,True,False
11,"[6, 4, 3, 6, 1, 0, 1, 1]",16,4.68,"[1, 4, 7, 0, 3, 5, 2, 5]",1,False,0,True,False
12,"[3, 4, 2, 2, 5, 2, 5, 2]",6,2.09,"[3, 0, 4, 7, 5, 2, 6, 1]",0,True,0,False,False
13,"[5, 2, 1, 6, 0, 1, 5, 3]",9,2.53,"[5, 2, 6, 3, 0, 7, 1, 4]",0,True,0,False,False
14,"[7, 2, 7, 6, 1, 0, 7, 2]",9,2.73,"[5, 2, 0, 6, 4, 7, 1, 3]",0,True,0,False,False
15,"[3, 0, 2, 3, 4, 4, 1, 3]",13,3.54,"[2, 0, 3, 7, 4, 6, 1, 5]",1,False,0,True,False
16,"[0, 3, 4, 5, 2, 7, 7, 6]",14,4.99,"[5, 3, 1, 6, 2, 5, 7, 0]",1,False,0,True,False
17,"[2, 0, 3, 7, 4, 0, 2, 7]",13,3.75,"[2, 0, 5, 7, 4, 1, 3, 5]",1,False,0,True,False
18,"[1, 5, 2, 3, 5, 6, 6, 6]",16,4.48,"[1, 6, 5, 3, 0, 7, 4, 2]",1,False,0,True,False
19,"[4, 2, 6, 6, 2, 7, 0, 6]",6,1.55,"[4, 7, 3, 0, 2, 5, 1, 6]",0,True,0,False,False
20,"[2, 1, 3, 6, 6, 5, 6, 2]",4,1.14,"[2, 7, 3, 6, 0, 5, 1, 4]",0,True,0,False,False
21,"[2, 7, 4, 5, 5, 2, 2, 2]",14,6.11,"[3, 7, 4, 1, 5, 0, 6, 3]",1,False,0,True,False
22,"[7, 1, 2, 2, 7, 6, 5, 0]",4,1.03,"[7, 1, 4, 2, 0, 6, 3, 5]",0,True,0,False,False
23,"[0, 6, 2, 1, 3, 4, 6, 7]",5,1.32,"[1, 6, 2, 5, 7, 4, 0, 3]",0,True,0,False,False
24,"[2, 0, 2, 2, 2, 1, 6, 6]",11,3.04,"[2, 4, 1, 7, 5, 3, 6, 0]",0,True,0,False,False
25,"[1, 6, 0, 6, 6, 4, 2, 5]",3,0.78,"[1, 6, 0, 3, 7, 4, 2, 5]",1,False,0,False,True
26,"[5, 6, 7, 0, 3, 3, 6, 5]",7,2.47,"[2, 4, 6, 0, 3, 1, 7, 5]",0,True,0,False,False
27,"[1, 7, 4, 1, 4, 6, 1, 3]",6,2.09,"[2, 5, 7, 0, 4, 6, 1, 3]",0,True,0,False,False
28,"[5, 5, 1, 3, 3, 3, 7, 5]",4,0.98,"[2, 5, 1, 6, 0, 3, 7, 4]",0,True,0,False,False
29,"[5, 1, 4, 6, 7, 1, 3, 0]",6,2.13,"[5, 3, 6, 0, 7, 1, 4, 2]",0,True,0,False,False
30,"[0, 2, 1, 5, 6, 1, 4, 0]",13,3.5,"[0, 2, 7, 5, 7, 1, 4, 6]",1,False,0,True,False
